,Timestamp,Open,High,Low,Close,Volume
0,2024-08-31 15:00:00,59100.1,59124.9,59100.0,59124.0,16.632
1,2024-08-31 15:01:00,59124.0,59128.3,59105.0,59105.1,13.697
2,2024-08-31 15:02:00,59105.1,59127.4,59105.0,59124.1,11.603
3,2024-08-31 15:03:00,59124.1,59124.1,59106.5,59106.5,5.458
4,2024-08-31 15:04:00,59106.5,59127.5,59106.5,59127.5,8.738
5,2024-08-31 15:05:00,59127.5,59130.0,59126.0,59126.1,12.797
6,2024-08-31 15:06:00,59126.1,59126.1,59102.0,59103.9,7.995
7,2024-08-31 15:07:00,59103.9,59116.1,59103.9,59116.1,9.851
8,2024-08-31 15:08:00,59116.1,59116.1,59105.0,59105.1,2.725
9,2024-08-31 15:09:00,59105.1,59110.9,59105.0,59105.6,6.186
10,2024-08-31 15:10:00,59105.6,59120.7,59105.5,59120.7,5.956
11,2024-08-31 15:11:00,59120.7,59122.4,59100.2,59100.2,6.654
12,2024-08-31 15:12:00,59100.2,59100.3,59078.9,59084.9,23.407
13,2024-08-31 15:13:00,59084.9,59104.8,59084.9,59104.7,11.062
14,2024-08-31 15:14:00,59104.7,59104.8,59086.0,59086.0,15.745
15,2024-08-31 15:15:00,59086.0,59093.4,59074.4,59074.5,8.84
16,2024-08-31 15:16:00,59074.5,59077.4,59059.0,59063.4,17.462
17,2024-08-31 15:17:00,59063.4,59076.1,59063.4,59076.1,5.287
18,2024-08-31 15:18:00,59076.1,59076.1,59061.0,59061.0,9.167
19,2024-08-31 15:19:00,59061.0,59076.0,59061.0,59067.3,19.935
20,2024-08-31 15:20:00,59067.3,59067.3,59024.3,59045.1,32.996
21,2024-08-31 15:21:00,59045.1,59049.5,59032.9,59035.7,14.427
22,2024-08-31 15:22:00,59035.7,59058.0,59035.7,59050.5,7.781
23,2024-08-31 15:23:00,59050.5,59050.5,58996.3,59003.7,152.452
24,2024-08-31 15:24:00,59003.7,59003.8,58950.5,59000.5,110.557
25,2024-08-31 15:25:00,59000.5,59000.5,58982.0,58993.9,20.772
26,2024-08-31 15:26:00,58993.9,59004.2,58993.8,59004.1,6.58
27,2024-08-31 15:27:00,59004.1,59004.2,58977.3,58978.1,32.129
28,2024-08-31 15:28:00,58978.1,58981.0,58947.1,58947.2,38.432
29,2024-08-31 15:29:00,58947.2,58970.2,58947.1,58970.1,54.191
30,2024-08-31 15:30:00,58970.1,58970.1,58948.0,58965.4,31.264
31,2024-08-31 15:31:00,58965.4,59009.9,58957.1,59009.9,53.543
32,2024-08-31 15:32:00,59009.9,59010.0,58954.0,58954.7,16.974
33,2024-08-31 15:33:00,58954.7,58980.0,58942.0,58976.1,29.212
34,2024-08-31 15:34:00,58976.1,58999.9,58976.0,58994.1,10.765
35,2024-08-31 15:35:00,58994.1,59020.0,58994.0,58997.6,20.127
36,2024-08-31 15:36:00,58997.6,59013.8,58984.0,58984.0,67.621
37,2024-08-31 15:37:00,58984.0,58996.1,58975.3,58996.0,8.357
38,2024-08-31 15:38:00,58996.0,59009.3,58995.2,59009.3,7.185
39,2024-08-31 15:39:00,59009.3,59010.3,58995.2,59000.0,11.037
